136.186.229.139.58960 > 136.186.229.138.80,174517.195,0,0
136.186.229.138.80 > 136.186.229.139.58960,174517.1951,0,0
136.186.229.138.80 > 136.186.229.139.58960,174520.1912,0,0
136.186.229.139.58960 > 136.186.229.138.80,174520.1913,0,0
136.186.229.139.58960 > 136.186.229.138.80,174520.1916,412,412
136.186.229.138.80 > 136.186.229.139.58960,174520.1919,544,956
136.186.229.138.80 > 136.186.229.139.58960,174520.1919,0,956
136.186.229.139.58960 > 136.186.229.138.80,174520.1923,0,956
136.186.229.139.58960 > 136.186.229.138.80,174520.1925,0,956
136.186.229.138.80 > 136.186.229.139.58960,174520.1926,0,956
136.186.229.139.57527 > 136.186.229.138.80,174520.2144,0,956
136.186.229.138.80 > 136.186.229.139.57527,174520.2145,0,956
136.186.229.139.57527 > 136.186.229.138.80,174520.2147,0,956
136.186.229.139.57527 > 136.186.229.138.80,174520.2149,397,1353
136.186.229.138.80 > 136.186.229.139.57527,174520.2152,1448,2801
136.186.229.138.80 > 136.186.229.139.57527,174520.2152,1448,4249
136.186.229.139.57527 > 136.186.229.138.80,174520.2159,0,4249
136.186.229.138.80 > 136.186.229.139.57527,174520.216,1448,5697
136.186.229.138.80 > 136.186.229.139.57527,174520.216,1448,7145
136.186.229.138.80 > 136.186.229.139.57527,174520.216,1448,8593
136.186.229.139.57527 > 136.186.229.138.80,174520.2168,0,8593
136.186.229.138.80 > 136.186.229.139.57527,174520.2168,1448,10041
136.186.229.138.80 > 136.186.229.139.57527,174520.2168,1448,11489
136.186.229.138.80 > 136.186.229.139.57527,174520.2168,1448,12937
136.186.229.139.57527 > 136.186.229.138.80,174520.2171,0,12937
136.186.229.138.80 > 136.186.229.139.57527,174520.2171,1448,14385
136.186.229.138.80 > 136.186.229.139.57527,174520.2171,1448,15833
136.186.229.139.57527 > 136.186.229.138.80,174520.2176,0,15833
136.186.229.138.80 > 136.186.229.139.57527,174520.2176,1448,17281
136.186.229.138.80 > 136.186.229.139.57527,174520.2176,1448,18729
136.186.229.138.80 > 136.186.229.139.57527,174520.2176,1448,20177
136.186.229.139.57527 > 136.186.229.138.80,174520.2177,0,20177
136.186.229.138.80 > 136.186.229.139.57527,174520.2178,1448,21625
136.186.229.138.80 > 136.186.229.139.57527,174520.2178,1448,23073
136.186.229.139.57527 > 136.186.229.138.80,174520.2181,0,23073
136.186.229.138.80 > 136.186.229.139.57527,174520.2182,1448,24521
136.186.229.138.80 > 136.186.229.139.57527,174520.2182,1448,25969
136.186.229.138.80 > 136.186.229.139.57527,174520.2182,1448,27417
136.186.229.139.57527 > 136.186.229.138.80,174520.2183,0,27417
136.186.229.138.80 > 136.186.229.139.57527,174520.2183,1448,28865
136.186.229.138.80 > 136.186.229.139.57527,174520.2183,1448,30313
136.186.229.139.57527 > 136.186.229.138.80,174520.2185,0,30313
136.186.229.138.80 > 136.186.229.139.57527,174520.2185,1448,31761
136.186.229.138.80 > 136.186.229.139.57527,174520.2186,1448,33209
136.186.229.139.57527 > 136.186.229.138.80,174520.2186,0,33209
136.186.229.138.80 > 136.186.229.139.57527,174520.2187,1448,34657
136.186.229.139.57527 > 136.186.229.138.80,174520.219,0,34657
136.186.229.138.80 > 136.186.229.139.57527,174520.219,1448,36105
136.186.229.138.80 > 136.186.229.139.57527,174520.219,1448,37553
136.186.229.139.57527 > 136.186.229.138.80,174520.2191,0,37553
136.186.229.138.80 > 136.186.229.139.57527,174520.2191,1448,39001
136.186.229.139.57527 > 136.186.229.138.80,174520.2192,0,39001
136.186.229.138.80 > 136.186.229.139.57527,174520.2193,1448,40449
136.186.229.138.80 > 136.186.229.139.57527,174520.2193,1448,41897
136.186.229.139.57527 > 136.186.229.138.80,174520.2195,0,41897
136.186.229.138.80 > 136.186.229.139.57527,174520.2195,1448,43345
136.186.229.139.57527 > 136.186.229.138.80,174520.2196,0,43345
136.186.229.138.80 > 136.186.229.139.57527,174520.2197,1448,44793
136.186.229.138.80 > 136.186.229.139.57527,174520.2197,1448,46241
136.186.229.139.57527 > 136.186.229.138.80,174520.2198,0,46241
136.186.229.138.80 > 136.186.229.139.57527,174520.2198,1448,47689
136.186.229.139.57527 > 136.186.229.138.80,174520.22,0,47689
136.186.229.138.80 > 136.186.229.139.57527,174520.22,1448,49137
136.186.229.138.80 > 136.186.229.139.57527,174520.22,1448,50585
136.186.229.139.57527 > 136.186.229.138.80,174520.2202,0,50585
136.186.229.138.80 > 136.186.229.139.57527,174520.2202,1448,52033
136.186.229.138.80 > 136.186.229.139.57527,174520.2202,1448,53481
136.186.229.139.57527 > 136.186.229.138.80,174520.2204,0,53481
136.186.229.138.80 > 136.186.229.139.57527,174520.2204,1448,54929
136.186.229.138.80 > 136.186.229.139.57527,174520.2204,1448,56377
136.186.229.139.57527 > 136.186.229.138.80,174520.2205,0,56377
136.186.229.138.80 > 136.186.229.139.57527,174520.2206,1448,57825
136.186.229.139.57527 > 136.186.229.138.80,174520.2207,0,57825
136.186.229.138.80 > 136.186.229.139.57527,174520.2208,1448,59273
136.186.229.138.80 > 136.186.229.139.57527,174520.2208,1448,60721
136.186.229.139.57527 > 136.186.229.138.80,174520.2209,0,60721
136.186.229.138.80 > 136.186.229.139.57527,174520.221,1448,62169
136.186.229.139.57527 > 136.186.229.138.80,174520.2212,0,62169
136.186.229.138.80 > 136.186.229.139.57527,174520.2212,1448,63617
136.186.229.138.80 > 136.186.229.139.57527,174520.2213,1448,65065
136.186.229.138.80 > 136.186.229.139.57527,174520.2213,282,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2213,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2215,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2216,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2219,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.222,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2222,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2224,0,65347
136.186.229.139.57527 > 136.186.229.138.80,174520.2225,0,65347
136.186.229.138.80 > 136.186.229.139.57527,174520.2225,0,65347
136.186.229.139.64649 > 136.186.229.138.80,174520.4666,0,65347
136.186.229.138.80 > 136.186.229.139.64649,174520.4666,0,65347
136.186.229.139.64649 > 136.186.229.138.80,174520.4668,0,65347
136.186.229.139.64649 > 136.186.229.138.80,174520.4671,343,65690
136.186.229.138.80 > 136.186.229.139.64649,174520.4673,581,66271
136.186.229.138.80 > 136.186.229.139.64649,174520.4673,0,66271
136.186.229.139.64649 > 136.186.229.138.80,174520.4677,0,66271
136.186.229.139.64649 > 136.186.229.138.80,174520.468,0,66271
136.186.229.138.80 > 136.186.229.139.64649,174520.468,0,66271
136.186.229.139.63864 > 136.186.229.138.80,174545.1175,0,66271
136.186.229.138.80 > 136.186.229.139.63864,174545.1175,0,66271
136.186.229.139.63864 > 136.186.229.138.80,174545.1177,0,66271
136.186.229.139.63864 > 136.186.229.138.80,174545.1179,343,66614
136.186.229.138.80 > 136.186.229.139.63864,174545.1182,581,67195
136.186.229.138.80 > 136.186.229.139.63864,174545.1182,0,67195
136.186.229.139.63864 > 136.186.229.138.80,174545.1183,0,67195
136.186.229.139.63864 > 136.186.229.138.80,174545.1185,0,67195
136.186.229.139.63864 > 136.186.229.138.80,174545.1185,0,67195
136.186.229.139.63157 > 136.186.229.138.80,174545.2037,0,67195
136.186.229.138.80 > 136.186.229.139.63157,174545.2037,0,67195
136.186.229.139.63157 > 136.186.229.138.80,174545.2039,0,67195
136.186.229.139.63157 > 136.186.229.138.80,174545.2041,343,67538
136.186.229.138.80 > 136.186.229.139.63157,174545.2043,581,68119
136.186.229.138.80 > 136.186.229.139.63157,174545.2043,0,68119
136.186.229.139.63157 > 136.186.229.138.80,174545.2046,0,68119
136.186.229.139.63157 > 136.186.229.138.80,174545.2048,0,68119
136.186.229.138.80 > 136.186.229.139.63157,174545.2049,0,68119